,layer,shape,size
345,features.denseblock3.denselayer4.norm1.weight,torch.Size([352]),352
346,features.denseblock3.denselayer4.norm1.bias,torch.Size([352]),352
347,features.denseblock3.denselayer4.conv1.conv_out.weight,"torch.Size([124, 352, 1, 1])",43648
348,features.denseblock3.denselayer4.conv1.conv_out.bias,torch.Size([124]),124
349,features.denseblock3.denselayer4.conv1.qkv_conv.weight,"torch.Size([84, 352, 1, 1])",29568
350,features.denseblock3.denselayer4.conv1.qkv_conv.bias,torch.Size([84]),84
351,features.denseblock3.denselayer4.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
352,features.denseblock3.denselayer4.conv1.attn_out.bias,torch.Size([4]),4
353,features.denseblock3.denselayer4.norm2.weight,torch.Size([128]),128
354,features.denseblock3.denselayer4.norm2.bias,torch.Size([128]),128
355,features.denseblock3.denselayer4.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
356,features.denseblock3.denselayer4.conv2.conv_out.bias,torch.Size([28]),28
357,features.denseblock3.denselayer4.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
358,features.denseblock3.denselayer4.conv2.qkv_conv.bias,torch.Size([84]),84
359,features.denseblock3.denselayer4.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
360,features.denseblock3.denselayer4.conv2.attn_out.bias,torch.Size([4]),4
361,features.denseblock3.denselayer5.norm1.weight,torch.Size([384]),384
362,features.denseblock3.denselayer5.norm1.bias,torch.Size([384]),384
363,features.denseblock3.denselayer5.conv1.conv_out.weight,"torch.Size([124, 384, 1, 1])",47616
364,features.denseblock3.denselayer5.conv1.conv_out.bias,torch.Size([124]),124
365,features.denseblock3.denselayer5.conv1.qkv_conv.weight,"torch.Size([84, 384, 1, 1])",32256
366,features.denseblock3.denselayer5.conv1.qkv_conv.bias,torch.Size([84]),84
367,features.denseblock3.denselayer5.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
368,features.denseblock3.denselayer5.conv1.attn_out.bias,torch.Size([4]),4
369,features.denseblock3.denselayer5.norm2.weight,torch.Size([128]),128
370,features.denseblock3.denselayer5.norm2.bias,torch.Size([128]),128
371,features.denseblock3.denselayer5.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
372,features.denseblock3.denselayer5.conv2.conv_out.bias,torch.Size([28]),28
373,features.denseblock3.denselayer5.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
374,features.denseblock3.denselayer5.conv2.qkv_conv.bias,torch.Size([84]),84
375,features.denseblock3.denselayer5.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
376,features.denseblock3.denselayer5.conv2.attn_out.bias,torch.Size([4]),4
377,features.denseblock3.denselayer6.norm1.weight,torch.Size([416]),416
378,features.denseblock3.denselayer6.norm1.bias,torch.Size([416]),416
379,features.denseblock3.denselayer6.conv1.conv_out.weight,"torch.Size([124, 416, 1, 1])",51584
380,features.denseblock3.denselayer6.conv1.conv_out.bias,torch.Size([124]),124
381,features.denseblock3.denselayer6.conv1.qkv_conv.weight,"torch.Size([84, 416, 1, 1])",34944
382,features.denseblock3.denselayer6.conv1.qkv_conv.bias,torch.Size([84]),84
383,features.denseblock3.denselayer6.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
384,features.denseblock3.denselayer6.conv1.attn_out.bias,torch.Size([4]),4
385,features.denseblock3.denselayer6.norm2.weight,torch.Size([128]),128
386,features.denseblock3.denselayer6.norm2.bias,torch.Size([128]),128
387,features.denseblock3.denselayer6.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
388,features.denseblock3.denselayer6.conv2.conv_out.bias,torch.Size([28]),28
389,features.denseblock3.denselayer6.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
390,features.denseblock3.denselayer6.conv2.qkv_conv.bias,torch.Size([84]),84
391,features.denseblock3.denselayer6.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
392,features.denseblock3.denselayer6.conv2.attn_out.bias,torch.Size([4]),4
393,features.denseblock3.denselayer7.norm1.weight,torch.Size([448]),448
394,features.denseblock3.denselayer7.norm1.bias,torch.Size([448]),448
395,features.denseblock3.denselayer7.conv1.conv_out.weight,"torch.Size([124, 448, 1, 1])",55552
396,features.denseblock3.denselayer7.conv1.conv_out.bias,torch.Size([124]),124
397,features.denseblock3.denselayer7.conv1.qkv_conv.weight,"torch.Size([84, 448, 1, 1])",37632
398,features.denseblock3.denselayer7.conv1.qkv_conv.bias,torch.Size([84]),84
399,features.denseblock3.denselayer7.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
400,features.denseblock3.denselayer7.conv1.attn_out.bias,torch.Size([4]),4
401,features.denseblock3.denselayer7.norm2.weight,torch.Size([128]),128
402,features.denseblock3.denselayer7.norm2.bias,torch.Size([128]),128
403,features.denseblock3.denselayer7.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
404,features.denseblock3.denselayer7.conv2.conv_out.bias,torch.Size([28]),28
405,features.denseblock3.denselayer7.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
406,features.denseblock3.denselayer7.conv2.qkv_conv.bias,torch.Size([84]),84
407,features.denseblock3.denselayer7.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
408,features.denseblock3.denselayer7.conv2.attn_out.bias,torch.Size([4]),4
409,features.denseblock3.denselayer8.norm1.weight,torch.Size([480]),480
410,features.denseblock3.denselayer8.norm1.bias,torch.Size([480]),480
411,features.denseblock3.denselayer8.conv1.conv_out.weight,"torch.Size([124, 480, 1, 1])",59520
412,features.denseblock3.denselayer8.conv1.conv_out.bias,torch.Size([124]),124
413,features.denseblock3.denselayer8.conv1.qkv_conv.weight,"torch.Size([84, 480, 1, 1])",40320
414,features.denseblock3.denselayer8.conv1.qkv_conv.bias,torch.Size([84]),84
415,features.denseblock3.denselayer8.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
416,features.denseblock3.denselayer8.conv1.attn_out.bias,torch.Size([4]),4
417,features.denseblock3.denselayer8.norm2.weight,torch.Size([128]),128
418,features.denseblock3.denselayer8.norm2.bias,torch.Size([128]),128
419,features.denseblock3.denselayer8.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
420,features.denseblock3.denselayer8.conv2.conv_out.bias,torch.Size([28]),28
421,features.denseblock3.denselayer8.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
422,features.denseblock3.denselayer8.conv2.qkv_conv.bias,torch.Size([84]),84
423,features.denseblock3.denselayer8.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
424,features.denseblock3.denselayer8.conv2.attn_out.bias,torch.Size([4]),4
425,features.denseblock3.denselayer9.norm1.weight,torch.Size([512]),512
426,features.denseblock3.denselayer9.norm1.bias,torch.Size([512]),512
427,features.denseblock3.denselayer9.conv1.conv_out.weight,"torch.Size([124, 512, 1, 1])",63488
428,features.denseblock3.denselayer9.conv1.conv_out.bias,torch.Size([124]),124
429,features.denseblock3.denselayer9.conv1.qkv_conv.weight,"torch.Size([84, 512, 1, 1])",43008
430,features.denseblock3.denselayer9.conv1.qkv_conv.bias,torch.Size([84]),84
431,features.denseblock3.denselayer9.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
432,features.denseblock3.denselayer9.conv1.attn_out.bias,torch.Size([4]),4
433,features.denseblock3.denselayer9.norm2.weight,torch.Size([128]),128
434,features.denseblock3.denselayer9.norm2.bias,torch.Size([128]),128
435,features.denseblock3.denselayer9.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
436,features.denseblock3.denselayer9.conv2.conv_out.bias,torch.Size([28]),28
437,features.denseblock3.denselayer9.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
438,features.denseblock3.denselayer9.conv2.qkv_conv.bias,torch.Size([84]),84
439,features.denseblock3.denselayer9.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
440,features.denseblock3.denselayer9.conv2.attn_out.bias,torch.Size([4]),4
441,features.denseblock3.denselayer10.norm1.weight,torch.Size([544]),544
442,features.denseblock3.denselayer10.norm1.bias,torch.Size([544]),544
443,features.denseblock3.denselayer10.conv1.conv_out.weight,"torch.Size([124, 544, 1, 1])",67456
444,features.denseblock3.denselayer10.conv1.conv_out.bias,torch.Size([124]),124
445,features.denseblock3.denselayer10.conv1.qkv_conv.weight,"torch.Size([84, 544, 1, 1])",45696
446,features.denseblock3.denselayer10.conv1.qkv_conv.bias,torch.Size([84]),84
447,features.denseblock3.denselayer10.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
448,features.denseblock3.denselayer10.conv1.attn_out.bias,torch.Size([4]),4
449,features.denseblock3.denselayer10.norm2.weight,torch.Size([128]),128
450,features.denseblock3.denselayer10.norm2.bias,torch.Size([128]),128
451,features.denseblock3.denselayer10.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
452,features.denseblock3.denselayer10.conv2.conv_out.bias,torch.Size([28]),28
453,features.denseblock3.denselayer10.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
454,features.denseblock3.denselayer10.conv2.qkv_conv.bias,torch.Size([84]),84
455,features.denseblock3.denselayer10.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
456,features.denseblock3.denselayer10.conv2.attn_out.bias,torch.Size([4]),4
457,features.denseblock3.denselayer11.norm1.weight,torch.Size([576]),576
458,features.denseblock3.denselayer11.norm1.bias,torch.Size([576]),576
459,features.denseblock3.denselayer11.conv1.conv_out.weight,"torch.Size([124, 576, 1, 1])",71424
460,features.denseblock3.denselayer11.conv1.conv_out.bias,torch.Size([124]),124
461,features.denseblock3.denselayer11.conv1.qkv_conv.weight,"torch.Size([84, 576, 1, 1])",48384
462,features.denseblock3.denselayer11.conv1.qkv_conv.bias,torch.Size([84]),84
463,features.denseblock3.denselayer11.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
464,features.denseblock3.denselayer11.conv1.attn_out.bias,torch.Size([4]),4
465,features.denseblock3.denselayer11.norm2.weight,torch.Size([128]),128
466,features.denseblock3.denselayer11.norm2.bias,torch.Size([128]),128
467,features.denseblock3.denselayer11.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
468,features.denseblock3.denselayer11.conv2.conv_out.bias,torch.Size([28]),28
469,features.denseblock3.denselayer11.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
470,features.denseblock3.denselayer11.conv2.qkv_conv.bias,torch.Size([84]),84
471,features.denseblock3.denselayer11.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
472,features.denseblock3.denselayer11.conv2.attn_out.bias,torch.Size([4]),4
473,features.denseblock3.denselayer12.norm1.weight,torch.Size([608]),608
474,features.denseblock3.denselayer12.norm1.bias,torch.Size([608]),608
475,features.denseblock3.denselayer12.conv1.conv_out.weight,"torch.Size([124, 608, 1, 1])",75392
476,features.denseblock3.denselayer12.conv1.conv_out.bias,torch.Size([124]),124
477,features.denseblock3.denselayer12.conv1.qkv_conv.weight,"torch.Size([84, 608, 1, 1])",51072
478,features.denseblock3.denselayer12.conv1.qkv_conv.bias,torch.Size([84]),84
479,features.denseblock3.denselayer12.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
480,features.denseblock3.denselayer12.conv1.attn_out.bias,torch.Size([4]),4
481,features.denseblock3.denselayer12.norm2.weight,torch.Size([128]),128
482,features.denseblock3.denselayer12.norm2.bias,torch.Size([128]),128
483,features.denseblock3.denselayer12.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
484,features.denseblock3.denselayer12.conv2.conv_out.bias,torch.Size([28]),28
485,features.denseblock3.denselayer12.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
486,features.denseblock3.denselayer12.conv2.qkv_conv.bias,torch.Size([84]),84
487,features.denseblock3.denselayer12.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
488,features.denseblock3.denselayer12.conv2.attn_out.bias,torch.Size([4]),4
489,features.denseblock3.denselayer13.norm1.weight,torch.Size([640]),640
490,features.denseblock3.denselayer13.norm1.bias,torch.Size([640]),640
491,features.denseblock3.denselayer13.conv1.conv_out.weight,"torch.Size([124, 640, 1, 1])",79360
492,features.denseblock3.denselayer13.conv1.conv_out.bias,torch.Size([124]),124
493,features.denseblock3.denselayer13.conv1.qkv_conv.weight,"torch.Size([84, 640, 1, 1])",53760
494,features.denseblock3.denselayer13.conv1.qkv_conv.bias,torch.Size([84]),84
495,features.denseblock3.denselayer13.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
496,features.denseblock3.denselayer13.conv1.attn_out.bias,torch.Size([4]),4
497,features.denseblock3.denselayer13.norm2.weight,torch.Size([128]),128
498,features.denseblock3.denselayer13.norm2.bias,torch.Size([128]),128
499,features.denseblock3.denselayer13.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
500,features.denseblock3.denselayer13.conv2.conv_out.bias,torch.Size([28]),28
501,features.denseblock3.denselayer13.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
502,features.denseblock3.denselayer13.conv2.qkv_conv.bias,torch.Size([84]),84
503,features.denseblock3.denselayer13.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
504,features.denseblock3.denselayer13.conv2.attn_out.bias,torch.Size([4]),4
505,features.denseblock3.denselayer14.norm1.weight,torch.Size([672]),672
506,features.denseblock3.denselayer14.norm1.bias,torch.Size([672]),672
507,features.denseblock3.denselayer14.conv1.conv_out.weight,"torch.Size([124, 672, 1, 1])",83328
508,features.denseblock3.denselayer14.conv1.conv_out.bias,torch.Size([124]),124
509,features.denseblock3.denselayer14.conv1.qkv_conv.weight,"torch.Size([84, 672, 1, 1])",56448
510,features.denseblock3.denselayer14.conv1.qkv_conv.bias,torch.Size([84]),84
511,features.denseblock3.denselayer14.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
512,features.denseblock3.denselayer14.conv1.attn_out.bias,torch.Size([4]),4
513,features.denseblock3.denselayer14.norm2.weight,torch.Size([128]),128
514,features.denseblock3.denselayer14.norm2.bias,torch.Size([128]),128
515,features.denseblock3.denselayer14.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
516,features.denseblock3.denselayer14.conv2.conv_out.bias,torch.Size([28]),28
517,features.denseblock3.denselayer14.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
518,features.denseblock3.denselayer14.conv2.qkv_conv.bias,torch.Size([84]),84
519,features.denseblock3.denselayer14.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
520,features.denseblock3.denselayer14.conv2.attn_out.bias,torch.Size([4]),4
521,features.denseblock3.denselayer15.norm1.weight,torch.Size([704]),704
522,features.denseblock3.denselayer15.norm1.bias,torch.Size([704]),704
523,features.denseblock3.denselayer15.conv1.conv_out.weight,"torch.Size([124, 704, 1, 1])",87296
524,features.denseblock3.denselayer15.conv1.conv_out.bias,torch.Size([124]),124
525,features.denseblock3.denselayer15.conv1.qkv_conv.weight,"torch.Size([84, 704, 1, 1])",59136
526,features.denseblock3.denselayer15.conv1.qkv_conv.bias,torch.Size([84]),84
527,features.denseblock3.denselayer15.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
528,features.denseblock3.denselayer15.conv1.attn_out.bias,torch.Size([4]),4
529,features.denseblock3.denselayer15.norm2.weight,torch.Size([128]),128
530,features.denseblock3.denselayer15.norm2.bias,torch.Size([128]),128
531,features.denseblock3.denselayer15.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
532,features.denseblock3.denselayer15.conv2.conv_out.bias,torch.Size([28]),28
533,features.denseblock3.denselayer15.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
534,features.denseblock3.denselayer15.conv2.qkv_conv.bias,torch.Size([84]),84
535,features.denseblock3.denselayer15.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
536,features.denseblock3.denselayer15.conv2.attn_out.bias,torch.Size([4]),4
537,features.denseblock3.denselayer16.norm1.weight,torch.Size([736]),736
538,features.denseblock3.denselayer16.norm1.bias,torch.Size([736]),736
539,features.denseblock3.denselayer16.conv1.conv_out.weight,"torch.Size([124, 736, 1, 1])",91264
540,features.denseblock3.denselayer16.conv1.conv_out.bias,torch.Size([124]),124
541,features.denseblock3.denselayer16.conv1.qkv_conv.weight,"torch.Size([84, 736, 1, 1])",61824
542,features.denseblock3.denselayer16.conv1.qkv_conv.bias,torch.Size([84]),84
543,features.denseblock3.denselayer16.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
544,features.denseblock3.denselayer16.conv1.attn_out.bias,torch.Size([4]),4
545,features.denseblock3.denselayer16.norm2.weight,torch.Size([128]),128
546,features.denseblock3.denselayer16.norm2.bias,torch.Size([128]),128
547,features.denseblock3.denselayer16.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
548,features.denseblock3.denselayer16.conv2.conv_out.bias,torch.Size([28]),28
549,features.denseblock3.denselayer16.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
550,features.denseblock3.denselayer16.conv2.qkv_conv.bias,torch.Size([84]),84
551,features.denseblock3.denselayer16.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
552,features.denseblock3.denselayer16.conv2.attn_out.bias,torch.Size([4]),4
553,features.denseblock3.denselayer17.norm1.weight,torch.Size([768]),768
554,features.denseblock3.denselayer17.norm1.bias,torch.Size([768]),768
555,features.denseblock3.denselayer17.conv1.conv_out.weight,"torch.Size([124, 768, 1, 1])",95232
556,features.denseblock3.denselayer17.conv1.conv_out.bias,torch.Size([124]),124
557,features.denseblock3.denselayer17.conv1.qkv_conv.weight,"torch.Size([84, 768, 1, 1])",64512
558,features.denseblock3.denselayer17.conv1.qkv_conv.bias,torch.Size([84]),84
559,features.denseblock3.denselayer17.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
560,features.denseblock3.denselayer17.conv1.attn_out.bias,torch.Size([4]),4
561,features.denseblock3.denselayer17.norm2.weight,torch.Size([128]),128
562,features.denseblock3.denselayer17.norm2.bias,torch.Size([128]),128
563,features.denseblock3.denselayer17.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
564,features.denseblock3.denselayer17.conv2.conv_out.bias,torch.Size([28]),28
565,features.denseblock3.denselayer17.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
566,features.denseblock3.denselayer17.conv2.qkv_conv.bias,torch.Size([84]),84
567,features.denseblock3.denselayer17.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
568,features.denseblock3.denselayer17.conv2.attn_out.bias,torch.Size([4]),4
569,features.denseblock3.denselayer18.norm1.weight,torch.Size([800]),800
570,features.denseblock3.denselayer18.norm1.bias,torch.Size([800]),800
571,features.denseblock3.denselayer18.conv1.conv_out.weight,"torch.Size([124, 800, 1, 1])",99200
572,features.denseblock3.denselayer18.conv1.conv_out.bias,torch.Size([124]),124
573,features.denseblock3.denselayer18.conv1.qkv_conv.weight,"torch.Size([84, 800, 1, 1])",67200
574,features.denseblock3.denselayer18.conv1.qkv_conv.bias,torch.Size([84]),84
575,features.denseblock3.denselayer18.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
576,features.denseblock3.denselayer18.conv1.attn_out.bias,torch.Size([4]),4
577,features.denseblock3.denselayer18.norm2.weight,torch.Size([128]),128
578,features.denseblock3.denselayer18.norm2.bias,torch.Size([128]),128
579,features.denseblock3.denselayer18.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
580,features.denseblock3.denselayer18.conv2.conv_out.bias,torch.Size([28]),28
581,features.denseblock3.denselayer18.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
582,features.denseblock3.denselayer18.conv2.qkv_conv.bias,torch.Size([84]),84
583,features.denseblock3.denselayer18.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
584,features.denseblock3.denselayer18.conv2.attn_out.bias,torch.Size([4]),4
585,features.denseblock3.denselayer19.norm1.weight,torch.Size([832]),832
586,features.denseblock3.denselayer19.norm1.bias,torch.Size([832]),832
587,features.denseblock3.denselayer19.conv1.conv_out.weight,"torch.Size([124, 832, 1, 1])",103168
588,features.denseblock3.denselayer19.conv1.conv_out.bias,torch.Size([124]),124
589,features.denseblock3.denselayer19.conv1.qkv_conv.weight,"torch.Size([84, 832, 1, 1])",69888
590,features.denseblock3.denselayer19.conv1.qkv_conv.bias,torch.Size([84]),84
591,features.denseblock3.denselayer19.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
592,features.denseblock3.denselayer19.conv1.attn_out.bias,torch.Size([4]),4
593,features.denseblock3.denselayer19.norm2.weight,torch.Size([128]),128
594,features.denseblock3.denselayer19.norm2.bias,torch.Size([128]),128
595,features.denseblock3.denselayer19.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
596,features.denseblock3.denselayer19.conv2.conv_out.bias,torch.Size([28]),28
597,features.denseblock3.denselayer19.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
598,features.denseblock3.denselayer19.conv2.qkv_conv.bias,torch.Size([84]),84
599,features.denseblock3.denselayer19.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
600,features.denseblock3.denselayer19.conv2.attn_out.bias,torch.Size([4]),4
601,features.denseblock3.denselayer20.norm1.weight,torch.Size([864]),864
602,features.denseblock3.denselayer20.norm1.bias,torch.Size([864]),864
603,features.denseblock3.denselayer20.conv1.conv_out.weight,"torch.Size([124, 864, 1, 1])",107136
604,features.denseblock3.denselayer20.conv1.conv_out.bias,torch.Size([124]),124
605,features.denseblock3.denselayer20.conv1.qkv_conv.weight,"torch.Size([84, 864, 1, 1])",72576
606,features.denseblock3.denselayer20.conv1.qkv_conv.bias,torch.Size([84]),84
607,features.denseblock3.denselayer20.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
608,features.denseblock3.denselayer20.conv1.attn_out.bias,torch.Size([4]),4
609,features.denseblock3.denselayer20.norm2.weight,torch.Size([128]),128
610,features.denseblock3.denselayer20.norm2.bias,torch.Size([128]),128
611,features.denseblock3.denselayer20.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
612,features.denseblock3.denselayer20.conv2.conv_out.bias,torch.Size([28]),28
613,features.denseblock3.denselayer20.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
614,features.denseblock3.denselayer20.conv2.qkv_conv.bias,torch.Size([84]),84
615,features.denseblock3.denselayer20.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
616,features.denseblock3.denselayer20.conv2.attn_out.bias,torch.Size([4]),4
617,features.denseblock3.denselayer21.norm1.weight,torch.Size([896]),896
618,features.denseblock3.denselayer21.norm1.bias,torch.Size([896]),896
619,features.denseblock3.denselayer21.conv1.conv_out.weight,"torch.Size([124, 896, 1, 1])",111104
620,features.denseblock3.denselayer21.conv1.conv_out.bias,torch.Size([124]),124
621,features.denseblock3.denselayer21.conv1.qkv_conv.weight,"torch.Size([84, 896, 1, 1])",75264
622,features.denseblock3.denselayer21.conv1.qkv_conv.bias,torch.Size([84]),84
623,features.denseblock3.denselayer21.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
624,features.denseblock3.denselayer21.conv1.attn_out.bias,torch.Size([4]),4
625,features.denseblock3.denselayer21.norm2.weight,torch.Size([128]),128
626,features.denseblock3.denselayer21.norm2.bias,torch.Size([128]),128
627,features.denseblock3.denselayer21.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
