,layer,shape,size
772,features.denseblock4.denselayer6.norm2.weight,torch.Size([128]),128
773,features.denseblock4.denselayer6.norm2.bias,torch.Size([128]),128
774,features.denseblock4.denselayer6.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
775,features.denseblock4.denselayer6.conv2.conv_out.bias,torch.Size([28]),28
776,features.denseblock4.denselayer6.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
777,features.denseblock4.denselayer6.conv2.qkv_conv.bias,torch.Size([84]),84
778,features.denseblock4.denselayer6.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
779,features.denseblock4.denselayer6.conv2.attn_out.bias,torch.Size([4]),4
780,features.denseblock4.denselayer7.norm1.weight,torch.Size([704]),704
781,features.denseblock4.denselayer7.norm1.bias,torch.Size([704]),704
782,features.denseblock4.denselayer7.conv1.conv_out.weight,"torch.Size([124, 704, 1, 1])",87296
783,features.denseblock4.denselayer7.conv1.conv_out.bias,torch.Size([124]),124
784,features.denseblock4.denselayer7.conv1.qkv_conv.weight,"torch.Size([84, 704, 1, 1])",59136
785,features.denseblock4.denselayer7.conv1.qkv_conv.bias,torch.Size([84]),84
786,features.denseblock4.denselayer7.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
787,features.denseblock4.denselayer7.conv1.attn_out.bias,torch.Size([4]),4
788,features.denseblock4.denselayer7.norm2.weight,torch.Size([128]),128
789,features.denseblock4.denselayer7.norm2.bias,torch.Size([128]),128
790,features.denseblock4.denselayer7.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
791,features.denseblock4.denselayer7.conv2.conv_out.bias,torch.Size([28]),28
792,features.denseblock4.denselayer7.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
793,features.denseblock4.denselayer7.conv2.qkv_conv.bias,torch.Size([84]),84
794,features.denseblock4.denselayer7.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
795,features.denseblock4.denselayer7.conv2.attn_out.bias,torch.Size([4]),4
796,features.denseblock4.denselayer8.norm1.weight,torch.Size([736]),736
797,features.denseblock4.denselayer8.norm1.bias,torch.Size([736]),736
798,features.denseblock4.denselayer8.conv1.conv_out.weight,"torch.Size([124, 736, 1, 1])",91264
799,features.denseblock4.denselayer8.conv1.conv_out.bias,torch.Size([124]),124
800,features.denseblock4.denselayer8.conv1.qkv_conv.weight,"torch.Size([84, 736, 1, 1])",61824
801,features.denseblock4.denselayer8.conv1.qkv_conv.bias,torch.Size([84]),84
802,features.denseblock4.denselayer8.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
803,features.denseblock4.denselayer8.conv1.attn_out.bias,torch.Size([4]),4
804,features.denseblock4.denselayer8.norm2.weight,torch.Size([128]),128
805,features.denseblock4.denselayer8.norm2.bias,torch.Size([128]),128
806,features.denseblock4.denselayer8.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
807,features.denseblock4.denselayer8.conv2.conv_out.bias,torch.Size([28]),28
808,features.denseblock4.denselayer8.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
809,features.denseblock4.denselayer8.conv2.qkv_conv.bias,torch.Size([84]),84
810,features.denseblock4.denselayer8.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
811,features.denseblock4.denselayer8.conv2.attn_out.bias,torch.Size([4]),4
812,features.denseblock4.denselayer9.norm1.weight,torch.Size([768]),768
813,features.denseblock4.denselayer9.norm1.bias,torch.Size([768]),768
814,features.denseblock4.denselayer9.conv1.conv_out.weight,"torch.Size([124, 768, 1, 1])",95232
815,features.denseblock4.denselayer9.conv1.conv_out.bias,torch.Size([124]),124
816,features.denseblock4.denselayer9.conv1.qkv_conv.weight,"torch.Size([84, 768, 1, 1])",64512
817,features.denseblock4.denselayer9.conv1.qkv_conv.bias,torch.Size([84]),84
818,features.denseblock4.denselayer9.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
819,features.denseblock4.denselayer9.conv1.attn_out.bias,torch.Size([4]),4
820,features.denseblock4.denselayer9.norm2.weight,torch.Size([128]),128
821,features.denseblock4.denselayer9.norm2.bias,torch.Size([128]),128
822,features.denseblock4.denselayer9.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
823,features.denseblock4.denselayer9.conv2.conv_out.bias,torch.Size([28]),28
824,features.denseblock4.denselayer9.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
825,features.denseblock4.denselayer9.conv2.qkv_conv.bias,torch.Size([84]),84
826,features.denseblock4.denselayer9.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
827,features.denseblock4.denselayer9.conv2.attn_out.bias,torch.Size([4]),4
828,features.denseblock4.denselayer10.norm1.weight,torch.Size([800]),800
829,features.denseblock4.denselayer10.norm1.bias,torch.Size([800]),800
830,features.denseblock4.denselayer10.conv1.conv_out.weight,"torch.Size([124, 800, 1, 1])",99200
831,features.denseblock4.denselayer10.conv1.conv_out.bias,torch.Size([124]),124
832,features.denseblock4.denselayer10.conv1.qkv_conv.weight,"torch.Size([84, 800, 1, 1])",67200
833,features.denseblock4.denselayer10.conv1.qkv_conv.bias,torch.Size([84]),84
834,features.denseblock4.denselayer10.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
835,features.denseblock4.denselayer10.conv1.attn_out.bias,torch.Size([4]),4
836,features.denseblock4.denselayer10.norm2.weight,torch.Size([128]),128
837,features.denseblock4.denselayer10.norm2.bias,torch.Size([128]),128
838,features.denseblock4.denselayer10.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
839,features.denseblock4.denselayer10.conv2.conv_out.bias,torch.Size([28]),28
840,features.denseblock4.denselayer10.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
841,features.denseblock4.denselayer10.conv2.qkv_conv.bias,torch.Size([84]),84
842,features.denseblock4.denselayer10.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
843,features.denseblock4.denselayer10.conv2.attn_out.bias,torch.Size([4]),4
844,features.denseblock4.denselayer11.norm1.weight,torch.Size([832]),832
845,features.denseblock4.denselayer11.norm1.bias,torch.Size([832]),832
846,features.denseblock4.denselayer11.conv1.conv_out.weight,"torch.Size([124, 832, 1, 1])",103168
847,features.denseblock4.denselayer11.conv1.conv_out.bias,torch.Size([124]),124
848,features.denseblock4.denselayer11.conv1.qkv_conv.weight,"torch.Size([84, 832, 1, 1])",69888
849,features.denseblock4.denselayer11.conv1.qkv_conv.bias,torch.Size([84]),84
